ShapeId,Type,W,A,d,Ht,h,OD,bf,B,b,ID,tw,tf,t,tnom,tdes,kdes,x,y,eo,xp,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tanAlpha,Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
HSS9X9X.313,HSS,36.1,9.92,0,9.00,8.13,0,0,9.00,8.13,0,0,0,0,0.3125,0.291,0,0,0,0,0,0,124,32.1,27.6,3.54,124,32.1,27.6,3.54,0,0,0,196,0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X9X.250,HSS,29.23,8.03,0,9.00,8.30,0,0,9.00,8.30,0,0,0,0,0.250,0.233,0,0,0,0,0,0,102,26.2,22.7,3.56,102,26.2,22.7,3.56,0,0,0,159,0,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X9X.188,HSS,22.18,6.06,0,9.00,8.48,0,0,9.00,8.48,0,0,0,0,0.1875,0.174,0,0,0,0,0,0,78.2,20,17.4,3.59,78.2,20,17.4,3.59,0,0,0,121,0,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X9X.125,HSS,14.96,4.09,0,9.00,8.65,0,0,9.00,8.65,0,0,0,0,0.125,0.116,0,0,0,0,0,0,53.5,13.6,11.9,3.62,53.5,13.6,11.9,3.62,0,0,0,82.0,0,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X7X.625,HSS,59.32,16.4,0,9.00,7.26,0,0,7.00,5.26,0,0,0,0,0.625,0.581,0,0,0,0,0,0,174,48.3,38.7,3.26,117,40.5,33.5,2.68,0,0,0,235,0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X7X.500,HSS,48.85,13.5,0,9.00,7.60,0,0,7.00,5.60,0,0,0,0,0.500,0.465,0,0,0,0,0,0,149,40.5,33,3.32,100,34,28.7,2.73,0,0,0,197,0,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X7X.375,HSS,37.69,10.4,0,9.00,7.95,0,0,7.00,5.95,0,0,0,0,0.375,0.349,0,0,0,0,0,0,119,31.8,26.4,3.38,80.4,26.7,23,2.78,0,0,0,154,0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X7X.313,HSS,31.84,8.76,0,9.00,8.13,0,0,7.00,6.13,0,0,0,0,0.3125,0.291,0,0,0,0,0,0,102,27.1,22.6,3.41,69.2,22.8,19.8,2.81,0,0,0,131,0,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X7X.250,HSS,25.82,7.10,0,9.00,8.30,0,0,7.00,6.30,0,0,0,0,0.250,0.233,0,0,0,0,0,0,84.1,22.2,18.7,3.44,57.2,18.7,16.3,2.84,0,0,0,107,0,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X7X.188,HSS,19.63,5.37,0,9.00,8.48,0,0,7.00,6.48,0,0,0,0,0.1875,0.174,0,0,0,0,0,0,64.7,16.9,14.4,3.47,44.1,14.3,12.6,2.87,0,0,0,81.7,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X5X.625,HSS,50.81,14.0,0,9.00,7.26,0,0,5.00,3.26,0,0,0,0,0.625,0.581,0,0,0,0,0,0,133,38.5,29.6,3.08,52,25.3,20.8,1.92,0,0,0,128,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X5X.500,HSS,42.05,11.6,0,9.00,7.60,0,0,5.00,3.60,0,0,0,0,0.500,0.465,0,0,0,0,0,0,115,32.5,25.5,3.14,45.2,21.5,18.1,1.97,0,0,0,109,0,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X5X.375,HSS,32.58,8.97,0,9.00,7.95,0,0,5.00,3.95,0,0,0,0,0.375,0.349,0,0,0,0,0,0,92.5,25.7,20.5,3.21,36.8,17.1,14.7,2.03,0,0,0,86.9,0,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS9X5X.313,HSS,27.59,7.59,0,9.00,8.13,0,0,5.00,4.13,0,0,0,0,0.3125,0.291,0,0,0,0,0,0,79.8,22,17.7,3.24,32,14.6,12.8,2.05,0,0,0,74.4,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
